scheduled_date,day,procedure_type,room_type,doctor_id,doctor_name,nurse_name(s),doctor_shift_hours,total_nurse_shift_hours
2024-06-03,Monday,general,general,c172a9d0-0e9a-4754-bef4-7642910c2794,Dr. Joshua Horton,"['Taylor Miller', 'Debra Gonzalez']",5,16
2024-06-03,Monday,surgery,surgery,0f1e2372-ee6d-42ab-b783-8b1eeff87f3a,Dr. Christopher Griffith,"['David Brown', 'Taylor Miller', 'Mrs. Kimberly Lee', 'Caleb Jones']",5,32
2024-06-03,Monday,observation,observation,c172a9d0-0e9a-4754-bef4-7642910c2794,Dr. Joshua Horton,"['Debra Gonzalez', 'Kristopher Gutierrez', 'Christopher Turner', 'Caleb Jones']",5,32
2024-06-03,Monday,none,none,c172a9d0-0e9a-4754-bef4-7642910c2794,Dr. Joshua Horton,"['David Brown', 'Caleb Jones', 'Kristopher Gutierrez', 'Kevin Simmons']",5,32
2024-06-04,Tuesday,general,general,c172a9d0-0e9a-4754-bef4-7642910c2794,Dr. Joshua Horton,"['Kevin Simmons', 'Kristopher Gutierrez']",5,16
2024-06-04,Tuesday,surgery,surgery,0f1e2372-ee6d-42ab-b783-8b1eeff87f3a,Dr. Christopher Griffith,"['Christopher Turner', 'Debra Gonzalez', 'Jason Williams', 'Caleb Jones']",5,32
2024-06-04,Tuesday,observation,observation,c172a9d0-0e9a-4754-bef4-7642910c2794,Dr. Joshua Horton,"['Christopher Turner', 'Mrs. Kimberly Lee', 'Lisa Francis', 'Caleb Jones']",5,32
2024-06-04,Tuesday,none,none,c172a9d0-0e9a-4754-bef4-7642910c2794,Dr. Joshua Horton,"['Jason Williams', 'David Brown', 'Kevin Simmons', 'Mrs. Kimberly Lee']",5,32
2024-06-05,Wednesday,general,general,c172a9d0-0e9a-4754-bef4-7642910c2794,Dr. Joshua Horton,"['David Brown', 'Christopher Turner']",5,16
2024-06-05,Wednesday,surgery,surgery,838caaeb-dfdd-4650-a173-d23e158d6de6,Dr. Nicholas Burton,"['Mrs. Kimberly Lee', 'David Brown', 'Taylor Miller', 'Debra Gonzalez']",5,32
2024-06-05,Wednesday,observation,observation,c172a9d0-0e9a-4754-bef4-7642910c2794,Dr. Joshua Horton,"['Kristopher Gutierrez', 'Jason Williams', 'Taylor Miller', 'David Brown']",5,32
2024-06-05,Wednesday,none,none,0f1e2372-ee6d-42ab-b783-8b1eeff87f3a,Dr. Christopher Griffith,"['David Brown', 'Kevin Simmons', 'Lisa Francis', 'Christopher Turner']",5,32
2024-06-06,Thursday,general,general,0f1e2372-ee6d-42ab-b783-8b1eeff87f3a,Dr. Christopher Griffith,"['Jason Williams', 'Christopher Turner']",5,16
2024-06-06,Thursday,surgery,surgery,0f1e2372-ee6d-42ab-b783-8b1eeff87f3a,Dr. Christopher Griffith,"['David Brown', 'Kristopher Gutierrez', 'Kevin Simmons', 'Mrs. Kimberly Lee']",5,32
2024-06-06,Thursday,observation,observation,838caaeb-dfdd-4650-a173-d23e158d6de6,Dr. Nicholas Burton,"['Caleb Jones', 'Lisa Francis', 'Mrs. Kimberly Lee', 'Christopher Turner']",5,32
2024-06-06,Thursday,none,none,838caaeb-dfdd-4650-a173-d23e158d6de6,Dr. Nicholas Burton,"['Lisa Francis', 'Caleb Jones', 'Kevin Simmons', 'Mrs. Kimberly Lee']",5,32
2024-06-07,Friday,general,general,0f1e2372-ee6d-42ab-b783-8b1eeff87f3a,Dr. Christopher Griffith,"['Christopher Turner', 'Debra Gonzalez']",5,16
2024-06-07,Friday,surgery,surgery,0f1e2372-ee6d-42ab-b783-8b1eeff87f3a,Dr. Christopher Griffith,"['Kevin Simmons', 'Jason Williams', 'Kristopher Gutierrez', 'Christopher Turner']",5,32
2024-06-07,Friday,observation,observation,c172a9d0-0e9a-4754-bef4-7642910c2794,Dr. Joshua Horton,"['Debra Gonzalez', 'Mrs. Kimberly Lee', 'Kristopher Gutierrez', 'Christopher Turner']",5,32
2024-06-07,Friday,none,none,c172a9d0-0e9a-4754-bef4-7642910c2794,Dr. Joshua Horton,"['Kevin Simmons', 'Mrs. Kimberly Lee', 'Debra Gonzalez', 'Kristopher Gutierrez']",5,32
